CustomerID,Gender,Age,Country,Plan,ContractType,AutoRenew,TenureMonths,MonthlyCharges,Upgrades,Downgrades,IsPromoEligible,LoginsLast30d,SessionsPerUserLastMonth,PeakUsageTimeOfDay,ActiveDaysLastMonth,LastLoginDaysAgo,UsageTrend3m_Hours,AvgMonthlyUsageHours,SupportTicketsPerMonth,NPS,PaymentDelayDays,FailedPayments_12m,TotalSpend,Churn
C00001,M,39,UK,Standard,Quarterly,1,60.56,162.79,0,0,0,19,8,Afternoon,19,15,9.6,147.42,2,13,5,2,7271.85,0
C00002,F,19,USA,Standard,Monthly,1,35.74,124.7,1,0,1,19,4.2,Evening,11,32,7.5,142.61,0,27,1,0,3552.05,0
C00003,M,21,India,Basic,Monthly,1,2.37,111.67,1,0,1,30,2.5,Night,7,23,13.3,10.02,0,-99,5,2,133.52,1
C00004,M,62,India,Standard,Monthly,1,42.01,173.96,0,0,1,19,5.8,Night,15,26,99.2,24.07,0,-20,3,3,5995.42,1
C00005,M,30,USA,Standard,Quarterly,1,50.64,182.96,0,0,1,18,1.6,Afternoon,16,27,114.3,18.5,3,0,1,0,11602.74,0
C00006,F,49,Germany,Basic,Quarterly,1,2.71,34.45,0,0,0,30,0.5,Afternoon,11,43,52.9,87.46,2,55,3,3,197.21,1
C00007,M,39,India,Standard,Monthly,1,35.81,140.64,0,0,1,24,7.2,Morning,15,42,109.6,34.07,1,41,6,0,3563.07,0
C00008,M,42,Germany,Basic,Monthly,0,1.67,60.98,0,1,1,19,8.4,Evening,8,20,49.2,1,2,37,2,4,949.94,1
C00009,M,44,Canada,Basic,Quarterly,0,46.07,158.28,0,0,0,22,8.5,Night,30,0,172.1,76.84,1,-5,0,3,7786.26,1
C00010,F,34,Canada,Basic,Monthly,1,31.33,32.19,1,0,0,14,9.9,Afternoon,20,18,78.4,191.83,1,-26,2,0,985.53,0
C00011,M,23,India,Standard,Monthly,1,1,45.72,0,0,0,27,4,Evening,9,0,176.6,7.15,4,49,1,2,36.98,1
C00012,M,60,USA,Standard,Monthly,1,8.58,50.47,0,0,0,35,1,Morning,19,39,85.3,179.13,0,57,1,0,805.14,0
C00013,M,68,USA,Basic,Monthly,0,40.08,128.37,0,1,0,9,2.2,Evening,12,5,116.8,67.97,1,41,3,2,5212.44,0
C00014,M,33,USA,Standard,Monthly,1,15.9,136.91,1,0,1,23,5.4,Afternoon,30,33,46.8,14.58,0,12,0,3,1692.09,1
C00015,F,25,Germany,Standard,Monthly,1,31.22,184.53,1,1,1,19,4.6,Morning,6,26,173.7,4.06,2,21,1,1,7318.61,1
C00016,M,50,Canada,Basic,Monthly,1,44.84,24.08,1,1,0,21,8.2,Afternoon,15,14,7.9,174.16,1,30,7,0,834.22,0
C00017,F,27,Germany,Premium,Monthly,1,12.53,140,1,2,1,20,4.8,Night,19,38,130.5,92.9,1,11,3,2,1836.21,0
C00018,F,51,UK,Basic,Quarterly,1,17.09,12.37,1,0,1,13,4.1,Afternoon,30,23,116.1,14.15,0,-24,1,3,247.07,1
C00019,F,36,UK,Basic,Monthly,1,38.99,106.77,2,0,0,22,0.1,Morning,30,14,9.1,189.16,1,12,6,2,3545.07,0
C00020,M,31,India,Basic,Monthly,0,6.01,97.49,2,0,0,18,9.9,Morning,30,26,126.8,41.91,1,16,2,3,596.84,1
C00021,F,20,UK,Standard,Annual,1,64.14,18.56,0,1,0,21,1,Morning,9,28,34.5,32.58,1,-17,1,2,856.63,1
C00022,M,58,USA,Basic,Monthly,0,53.21,45.49,1,1,0,21,5.7,Night,8,18,59.1,73.6,4,13,2,0,2216.68,1
C00023,F,40,India,Standard,Monthly,1,35.62,162.34,0,1,1,21,4.5,Evening,20,10,21.8,127.33,1,-18,7,2,4623.6,0
C00024,F,57,Canada,Premium,Monthly,1,18.57,67.77,0,1,1,11,4,Morning,28,31,147.6,154.84,5,-22,7,1,891.48,0
C00025,F,28,Canada,Basic,Quarterly,1,54.39,101.6,1,0,0,12,2,Night,28,5,159.6,139.71,1,-43,2,1,5378.29,0
C00026,F,64,UK,Premium,Monthly,1,42.57,84.91,1,0,1,17,7.6,Night,14,21,26.8,128.38,0,47,2,1,4990.55,0
C00027,F,23,UK,Standard,Monthly,1,46.45,45.27,1,0,0,24,2.1,Afternoon,27,7,2.8,172.97,0,41,4,1,2432.2,0
C00028,F,51,Canada,Basic,Annual,1,39.03,188.79,0,0,1,16,1.2,Evening,12,20,44.6,73.14,1,8,3,1,7680.91,0
C00029,F,18,UK,Standard,Monthly,1,54.22,20.06,0,1,0,18,2.3,Night,17,22,100.7,22.42,0,19,3,0,740.75,0
C00030,F,52,UK,Basic,Monthly,1,41.95,97.82,0,1,0,15,1.9,Afternoon,21,20,114.6,41.48,0,-1,2,3,4515.02,1
C00031,M,42,Germany,Standard,Quarterly,1,33.92,73.91,3,0,0,11,4.9,Morning,8,28,103.9,23.07,1,-25,2,2,2226.18,1
C00032,M,46,Canada,Premium,Quarterly,1,45.19,136.68,0,0,0,20,3.2,Evening,24,50,78.6,114.86,1,37,2,2,7308.58,0
C00033,F,40,Canada,Premium,Annual,1,19.18,132.93,1,0,0,15,4,Evening,7,11,25.7,58.21,0,-5,1,2,3145.18,1
C00034,F,35,UK,Basic,Annual,1,7.31,142.37,0,0,0,22,5.4,Evening,26,22,74.1,47.65,2,-21,2,0,520.07,1
C00035,F,31,USA,Basic,Monthly,1,23.81,104.84,0,1,1,21,9.8,Morning,23,35,148.9,4.04,1,28,2,0,3215.99,0
C00036,M,34,Germany,Premium,Monthly,1,53.28,31.03,1,1,1,21,5.9,Evening,20,22,179,184.35,2,57,2,1,1551.02,0
C00037,F,19,USA,Standard,Annual,1,45.36,105.62,0,0,0,25,6.3,Morning,14,24,82.8,55.9,0,57,1,0,3864.71,0
C00038,M,48,UK,Standard,Annual,1,4.11,177.05,1,0,1,34,6,Evening,27,37,171,30.77,0,58,4,1,2515.82,1
C00039,M,36,Canada,Standard,Monthly,1,51.57,72.47,1,1,1,14,9,Afternoon,18,30,183.3,3.87,2,-17,3,0,2797.86,0
C00040,M,49,USA,Standard,Monthly,1,1.58,178.37,1,1,0,30,3.8,Afternoon,13,10,76.2,4.03,1,62,3,1,503.13,1
C00041,M,45,India,Standard,Quarterly,1,8.99,143.54,1,0,0,18,5.2,Afternoon,15,31,106.5,24.91,1,32,2,2,1127.34,1
C00042,M,58,USA,Standard,Monthly,1,62.19,190.22,1,1,0,17,8.6,Night,17,24,20.8,120.66,3,-21,3,2,9231.31,0
C00043,F,25,Canada,Basic,Annual,1,54.72,102.74,1,0,0,13,4.8,Night,10,0,51.7,148.26,0,17,3,1,5776.43,0
C00044,F,59,UK,Standard,Annual,1,15.13,62.98,0,0,1,19,8.8,Evening,22,26,87.5,4.34,1,48,2,1,494.03,1
C00045,F,58,USA,Standard,Annual,1,1,23.91,0,0,1,16,3.8,Morning,20,23,25.8,28.11,2,13,5,1,19.92,1
C00046,F,57,UK,Premium,Monthly,0,42.7,11.55,0,1,0,21,5.8,Afternoon,13,11,146.7,141.86,0,-36,0,0,565.5,0
C00047,F,56,Germany,Premium,Annual,1,53.47,181.8,0,1,1,19,4.1,Afternoon,17,24,175.1,79.68,0,-37,5,4,7607.47,0
C00048,M,39,India,Basic,Quarterly,1,36.19,117.24,1,1,1,15,4.6,Night,21,12,171.1,101.93,0,98,4,0,5022.04,0
C00049,F,41,Canada,Standard,Monthly,1,55.62,30.4,1,0,0,17,0.1,Afternoon,29,0,157.1,75.14,1,18,4,1,1487.03,0
C00050,F,55,Canada,Premium,Monthly,1,43.85,76.71,1,0,1,24,2.3,Night,18,7,153.7,148.71,1,24,3,0,3606.03,0
C00051,M,19,UK,Basic,Monthly,1,22.96,121.21,1,2,0,23,5.7,Afternoon,20,0,143,172.25,1,10,0,1,3578.6,0
C00052,F,58,India,Premium,Quarterly,1,38.85,185.19,1,0,0,14,9.5,Night,16,0,174,9.96,1,45,1,2,9690.33,0
C00053,M,58,Canada,Standard,Monthly,0,11.88,150.83,0,0,1,28,9.2,Evening,17,49,195.2,85.54,2,-21,3,2,2107.32,0
C00054,F,36,USA,Basic,Monthly,1,48.94,89.57,0,0,1,17,8.3,Night,11,39,60.8,164.24,2,20,7,2,5407.58,0
C00055,M,58,Canada,Standard,Annual,1,40.31,17.56,0,0,0,22,9.5,Afternoon,17,29,49.6,20.05,3,18,3,1,595.72,0
C00056,F,19,USA,Premium,Annual,1,6.76,131.88,0,1,0,24,9.1,Morning,14,18,136.6,182.73,1,41,1,0,2269.91,0
C00057,F,45,Canada,Basic,Quarterly,1,26.51,79.24,0,0,0,27,1.3,Morning,26,27,134.5,53.6,1,28,5,0,783.05,0
C00058,M,49,USA,Standard,Quarterly,1,46.11,23.3,2,0,1,14,8.9,Morning,24,0,86.7,63.45,3,-17,0,2,1467.08,0
C00059,M,36,Germany,Basic,Quarterly,1,28.01,167.77,0,0,1,18,8.8,Afternoon,19,24,3.7,103.34,0,-52,3,2,5448.12,0
C00060,M,33,UK,Basic,Annual,1,59.5,187.94,0,0,0,17,3.2,Afternoon,15,0,14.9,49.05,0,79,0,2,12981.78,1
