CustomerID,Segment,Age,Country,Plan,ContractType,AutoRenew,TenureMonths,MonthlyCharges,Upgrades,Downgrades,IsPromoEligible,LoginsLast30d,SessionsPerUserLastMonth,PeakUsageTimeOfDay,ActiveDaysLastMonth,LastLoginDaysAgo,UsageTrend3m_Hours,AvgMonthlyUsageHours,SupportTicketsPerMonth,NPS,PaymentDelayDays,FailedPayments_12m,TotalSpend,Churn
C00001,Individual,39,UK,Standard,Quarterly,1,60.56154929,162.79,0,0,0,19,8,Afternoon,19,15,9.6,147.4210856,2,13,5,2,7271.85,0
C00002,Enterprise,19,USA,Standard,Monthly,1,35.73628354,124.7,1,0,1,19,4.2,Evening,11,32,7.5,142.6119789,0,27,1,0,3552.05,0
C00003,SmallBiz,21,India,Basic,Monthly,1,2.369489572,111.67,1,0,1,30,2.5,Night,7,23,13.3,10.02320296,0,-99,5,2,133.52,1
C00004,Individual,62,India,Standard,Monthly,1,42.00873797,173.96,0,0,1,19,5.8,Night,15,26,99.2,24.06515436,0,-20,3,3,5995.42,1
C00005,Individual,30,USA,Standard,Quarterly,1,50.63637949,182.96,0,0,1,18,1.6,Afternoon,16,27,114.3,18.50146431,3,0,1,0,11602.74,0
C00006,Individual,49,Germany,Basic,Quarterly,1,2.712233617,34.45,0,0,0,30,0.5,Afternoon,11,43,52.9,87.46363365,2,55,3,3,197.21,1
C00007,Individual,39,India,Standard,Monthly,1,35.81393446,140.64,0,0,1,24,7.2,Morning,15,42,109.6,34.07477814,1,41,6,0,3563.07,0
C00008,SmallBiz,42,Germany,Basic,Monthly,0,1.668913502,60.98,0,1,1,19,8.4,Evening,8,20,49.2,1.001838534,2,37,2,4,949.94,1
C00009,Individual,44,Canada,Basic,Quarterly,0,46.07217628,158.28,0,0,0,22,8.5,Night,30,0,172.1,76.83647287,1,-5,0,3,7786.26,1
C00010,SmallBiz,34,Canada,Basic,Monthly,1,31.3305297,32.19,1,0,0,14,9.9,Afternoon,20,18,78.4,191.8349393,1,-26,2,0,985.53,0
C00011,Individual,23,India,Standard,Monthly,1,1,45.72,0,0,0,27,4,Evening,9,0,176.6,7.149671839,4,49,1,2,36.98,1
C00012,Enterprise,60,USA,Standard,Monthly,1,8.583595161,50.47,0,0,0,35,1,Morning,19,39,85.3,179.1320461,0,57,1,0,805.14,0
C00013,SmallBiz,68,USA,Basic,Monthly,0,40.08150426,128.37,0,1,0,9,2.2,Evening,12,5,116.8,67.97206816,1,41,3,2,5212.44,0
C00014,Individual,33,USA,Standard,Monthly,1,15.89932561,136.91,1,0,1,23,5.4,Afternoon,30,33,46.8,14.58033331,0,12,0,3,1692.09,1
C00015,Individual,25,Germany,Standard,Monthly,1,31.21764941,184.53,1,1,1,19,4.6,Morning,6,26,173.7,4.059831964,2,21,1,1,7318.61,1
C00016,Individual,50,Canada,Basic,Monthly,1,44.8411934,24.08,1,1,0,21,8.2,Afternoon,15,14,7.9,174.1580823,1,30,7,0,834.22,0
C00017,Individual,27,Germany,Premium,Monthly,1,12.53108663,140,1,2,1,20,4.8,Night,19,38,130.5,92.90454395,1,11,3,2,1836.21,0
C00018,Individual,51,UK,Basic,Quarterly,1,17.09255028,12.37,1,0,1,13,4.1,Afternoon,30,23,116.1,14.14752375,0,-24,1,3,247.07,1
C00019,Individual,36,UK,Basic,Monthly,1,38.99302066,106.77,2,0,0,22,0.1,Morning,30,14,9.1,189.157517,1,12,6,2,3545.07,0
C00020,Individual,31,India,Basic,Monthly,0,6.011371513,97.49,2,0,0,18,9.9,Morning,30,26,126.8,41.90980082,1,16,2,3,596.84,1
C00021,Individual,20,UK,Standard,Annual,1,64.13532576,18.56,0,1,0,21,1,Morning,9,28,34.5,32.5798843,1,-17,1,2,856.63,1
C00022,Individual,58,USA,Basic,Monthly,0,53.20615251,45.49,1,1,0,21,5.7,Night,8,18,59.1,73.60499224,4,13,2,0,2216.68,1
C00023,Individual,40,India,Standard,Monthly,1,35.62234745,162.34,0,1,1,21,4.5,Evening,20,10,21.8,127.3330168,1,-18,7,2,4623.6,0
C00024,Individual,57,Canada,Premium,Monthly,1,18.57098755,67.77,0,1,1,11,4,Morning,28,31,147.6,154.8364657,5,-22,7,1,891.48,0
C00025,Individual,28,Canada,Basic,Quarterly,1,54.39398125,101.6,1,0,0,12,2,Night,28,5,159.6,139.7128296,1,-43,2,1,5378.29,0
C00026,SmallBiz,64,UK,Premium,Monthly,1,42.56763048,84.91,1,0,1,17,7.6,Night,14,21,26.8,128.380857,0,47,2,1,4990.55,0
C00027,Individual,23,UK,Standard,Monthly,1,46.44887032,45.27,1,0,0,24,2.1,Afternoon,27,7,2.8,172.972778,0,41,4,1,2432.2,0
C00028,Individual,51,Canada,Basic,Annual,1,39.03139767,188.79,0,0,1,16,1.2,Evening,12,20,44.6,73.13796261,1,8,3,1,7680.91,0
